word,x,y,x+1 dist,x-1 dist,y+1 dist,y-1 dist,width,height,table
Table,524,323,140.0,0,256.0,0,111,28,0
10.,664,323,109.0,140.0,256.0,0,56,28,0
"Density,",773,323,205.0,109.0,256.0,0,172,38,0
frequency,978,323,222.0,205.0,256.0,0,198,38,0
of,1200,323,67.0,222.0,256.0,0,42,28,0
"occurrence,",1267,323,269.0,67.0,256.0,0,238,26,0
and,1536,323,89.0,269.0,256.0,0,62,28,0
canopy,1625,323,157.0,89.0,256.0,0,130,29,0
coverage,1782,323,199.0,157.0,256.0,0,172,28,0
of,1981,323,1207.0,199.0,256.0,0,42,28,0
perennial,775,368,225.0,1207.0,256.0,256.0,195,35,0
vegetation,1000,368,249.0,225.0,46.0,256.0,220,35,0
in,1249,368,65.0,249.0,46.0,256.0,38,28,0
a,1314,368,42.0,65.0,46.0,256.0,17,19,0
Coleogyne,1356,368,225.0,42.0,46.0,256.0,198,38,0
vegetation,1581,368,246.0,225.0,46.0,256.0,219,34,0
associa-,1827,368,1055.0,246.0,46.0,256.0,171,27,0
tion,773,413,114.0,1055.0,46.0,46.0,87,27,0
at,887,413,68.0,114.0,43.0,46.0,38,23,0
4700,955,413,115.0,68.0,43.0,46.0,85,28,0
ft,1070,413,70.0,115.0,43.0,46.0,36,28,0
(E,1140,413,62.0,70.0,43.0,46.0,35,33,0
Line),1202,413,133.0,62.0,43.0,46.0,101,35,0
on,1335,413,67.0,133.0,43.0,46.0,41,20,0
Yucca,1402,413,133.0,67.0,43.0,46.0,109,26,0
"Mountain,",1535,413,223.0,133.0,43.0,46.0,193,32,0
Nye,1758,413,88.0,223.0,43.0,46.0,63,36,0
"County,",1846,413,1074.0,88.0,43.0,46.0,149,34,0
"Nevada,",773,456,186.0,1074.0,43.0,43.0,150,35,0
1983,959,456,234.0,186.0,401.0,43.0,81,27,0
Density,1150,591,231.0,234.0,401.0,401.0,152,36,1
Frequency,1381,591,259.0,231.0,475.0,401.0,196,35,1
Coverage,1640,591,267.0,259.0,475.0,401.0,175,34,1
Average,1907,591,1232.0,267.0,475.0,401.0,152,33,1
Species,676,612,614.0,1232.0,475.0,475.0,153,37,1
m2,1290,612,179.0,614.0,438.0,475.0,40,34,1
per,1113,634,93.0,179.0,438.0,438.0,64,28,1
100,1206,634,247.0,93.0,687.0,438.0,58,26,1
(%),1453,634,245.0,247.0,687.0,438.0,52,36,1
(%),1698,634,172.0,245.0,687.0,438.0,52,35,1
Height,1870,634,163.0,172.0,687.0,438.0,126,35,1
(m),2033,634,1602.0,163.0,687.0,438.0,51,33,1
SHRURS,435,744,76.0,1602.0,687.0,687.0,132,27,1
"Ce,eogyne",477,807,225.0,76.0,76.0,76.0,197,38,1
ramoslima,702,807,437.0,225.0,67.0,76.0,246,31,1
17.6,1139,807,104.0,437.0,67.0,76.0,81,29,1
14.0,1243,807,209.0,104.0,67.0,76.0,88,27,1
100,1452,807,197.0,209.0,67.0,76.0,59,27,1
9.4,1649,807,84.0,197.0,67.0,76.0,61,27,1
P.,1733,807,205.0,84.0,67.0,76.0,12,19,1
0.61,1938,807,1462.0,205.0,67.0,76.0,81,27,1
"E.,z4:edra",478,873,180.0,1462.0,67.0,67.0,156,40,1
ncvad@wic,658,873,501.0,180.0,68.0,67.0,223,32,1
7.8,1159,873,84.0,501.0,68.0,67.0,61,28,1
i2.1,1243,873,209.0,84.0,68.0,67.0,84,27,1
100,1452,873,199.0,209.0,68.0,67.0,59,27,1
2.8,1651,873,82.0,199.0,68.0,67.0,60,29,1
1:1.3,1733,873,207.0,82.0,68.0,67.0,90,28,1
0.45,1940,873,1464.0,207.0,68.0,67.0,83,28,1
Lya:um,478,941,156.0,1464.0,68.0,68.0,132,38,1
wijeroonii,634,941,525.0,156.0,68.0,68.0,223,31,1
5.0,1159,941,84.0,525.0,68.0,68.0,61,27,1
10.5,1243,941,210.0,84.0,68.0,68.0,88,28,1
100,1453,941,201.0,210.0,68.0,68.0,58,27,1
1.8,1654,941,80.0,201.0,68.0,68.0,57,28,1
10.6,1734,941,206.0,80.0,68.0,68.0,90,28,1
0.33,1940,941,1464.0,206.0,68.0,68.0,83,28,1
grayiaspnoca,478,1009,680.0,1464.0,68.0,68.0,314,39,1
3.8,1158,1009,85.0,680.0,67.0,68.0,62,27,1
t1.1,1243,1009,210.0,85.0,67.0,68.0,84,27,1
100,1453,1009,200.0,210.0,67.0,68.0,59,27,1
1.5,1653,1009,82.0,200.0,67.0,68.0,59,27,1
t0.6,1735,1009,205.0,82.0,67.0,68.0,89,27,1
0.47,1940,1009,1465.0,205.0,67.0,68.0,83,28,1
Atriplex,477,1075,205.0,1465.0,67.0,67.0,179,39,1
confertia,682,1075,479.0,205.0,103.0,67.0,290,37,1
2.4,1161,1075,84.0,479.0,103.0,67.0,59,28,1
'1.1,1245,1075,226.0,84.0,103.0,67.0,84,27,1
60,1471,1075,180.0,226.0,103.0,67.0,41,26,1
0.9,1651,1075,88.0,180.0,103.0,67.0,62,27,1
'0.7,1739,1075,201.0,88.0,103.0,67.0,84,28,1
0.40,1940,1075,1508.0,201.0,103.0,67.0,85,28,1
GRASSES,435,1169,78.0,1508.0,103.0,103.0,155,28,1
Sti;)a,479,1233,137.0,78.0,78.0,78.0,113,39,1
spcc'f.o.:-7-,616,1233,545.0,137.0,1430.0,78.0,178,39,1
3.0,1161,1233,84.0,545.0,1430.0,78.0,61,28,1
11.3,1245,1233,228.0,84.0,1430.0,78.0,88,28,1
60,1473,1233,183.0,228.0,1430.0,78.0,40,27,1
1.1,1656,1233,85.0,183.0,1430.0,78.0,54,26,1
'0.5,1741,1233,201.0,85.0,1430.0,78.0,83,28,1
0.51,1942,1233,48.0,201.0,1430.0,78.0,79,28,1
.,1908,1266,1429.0,48.0,1430.0,1430.0,2,1,1
Muria,480,1300,180.0,1429.0,1429.0,1429.0,156,31,1
",Limesi.-::",660,1300,482.0,180.0,103.0,1429.0,156,36,1
11.8,1142,1300,104.0,482.0,103.0,1429.0,81,27,1
16.9,1246,1300,227.0,104.0,103.0,1429.0,87,27,1
60,1473,1300,179.0,227.0,103.0,1429.0,40,26,1
0.6,1652,1300,84.0,179.0,103.0,1429.0,62,27,1
t0.4,1736,1300,206.0,84.0,103.0,1429.0,88,27,1
0.34,1942,1300,1505.0,206.0,103.0,1429.0,84,27,1
FORBS,440,1394,76.0,1505.0,103.0,103.0,106,28,1
Sp72aeraloca,481,1457,272.0,76.0,76.0,76.0,246,39,1
"ar,l,f,g74a",753,1457,408.0,272.0,102.0,76.0,156,37,1
4.6,1161,1457,88.0,408.0,102.0,76.0,62,27,1
',1249,1457,29.0,88.0,102.0,76.0,5,21,1
1.6,1278,1457,178.0,29.0,102.0,76.0,57,26,1
100,1456,1457,197.0,178.0,102.0,76.0,58,27,1
0.1,1653,1457,85.0,197.0,102.0,76.0,60,26,1
"1,.1",1738,1457,205.0,85.0,102.0,76.0,86,28,1
0.3S,1943,1457,1507.0,205.0,102.0,76.0,84,27,1
OTHER,439,1549,137.0,1507.0,102.0,102.0,109,27,1
PERENNIALS,576,1549,253.0,137.0,90.0,102.0,221,27,1
(13)*,829,1549,312.0,253.0,90.0,102.0,98,33,1
25.6,1141,1549,329.0,312.0,90.0,102.0,82,28,1
--,1470,1549,187.0,329.0,90.0,102.0,34,4,1
1.6-,1657,1549,310.0,187.0,90.0,102.0,72,27,1
--,1967,1549,1532.0,310.0,90.0,102.0,35,4,1
TOTALS,438,1638,701.0,1532.0,90.0,90.0,133,27,1
81.6,1139,1638,107.0,701.0,91.0,90.0,84,28,1
*4.5,1246,1638,224.0,107.0,91.0,90.0,87,28,1
--,1470,1638,163.0,224.0,91.0,90.0,34,4,1
21.8,1633,1638,104.0,163.0,91.0,90.0,82,28,1
_t,1737,1638,30.0,104.0,91.0,90.0,12,21,1
2.4,1767,1638,202.0,30.0,91.0,90.0,58,27,1
--,1969,1638,1554.0,202.0,91.0,90.0,34,5,1
*Species,418,1726,201.0,1554.0,91.0,91.0,174,36,0
which,619,1726,138.0,201.0,1427.0,91.0,110,28,0
together,757,1726,202.0,138.0,1427.0,91.0,177,36,0
comprised,959,1726,229.0,202.0,1427.0,91.0,198,37,0
less,1188,1726,109.0,229.0,1427.0,91.0,79,27,0
than,1297,1726,115.0,109.0,1427.0,91.0,85,28,0
10%,1412,1726,86.0,115.0,1427.0,91.0,57,29,0
of,1498,1726,68.0,86.0,1427.0,91.0,41,28,0
the,1566,1726,89.0,68.0,1427.0,91.0,62,27,0
canopy,1655,1726,156.0,89.0,1427.0,91.0,129,28,0
