@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'table' {'0','1'}

@DATA
1028.0,210.0,304.0,0.0,132.0,0.0,277.0,27.0,'0'
1332.0,210.0,101.0,304.0,132.0,0.0,73.0,26.0,'0'
1433.0,210.0,897.0,101.0,132.0,0.0,210.0,25.0,'0'
2330.0,210.0,1406.0,897.0,132.0,0.0,72.0,33.0,'0'
927.0,294.0,118.0,1406.0,132.0,132.0,103.0,28.0,'0'
1045.0,294.0,168.0,118.0,634.0,132.0,154.0,28.0,'0'
1213.0,294.0,138.0,168.0,634.0,132.0,123.0,27.0,'0'
1351.0,294.0,44.0,138.0,634.0,132.0,30.0,27.0,'0'
1395.0,294.0,55.0,44.0,634.0,132.0,42.0,26.0,'0'
1450.0,294.0,138.0,55.0,634.0,132.0,123.0,26.0,'0'
1588.0,294.0,1293.0,138.0,634.0,132.0,157.0,27.0,'0'
297.0,360.0,232.0,1293.0,634.0,634.0,223.0,29.0,'0'
529.0,360.0,188.0,232.0,487.0,634.0,179.0,27.0,'0'
717.0,360.0,112.0,188.0,487.0,634.0,102.0,23.0,'0'
829.0,360.0,44.0,112.0,487.0,634.0,31.0,24.0,'0'
873.0,360.0,99.0,44.0,487.0,634.0,88.0,21.0,'0'
972.0,360.0,59.0,99.0,487.0,634.0,50.0,21.0,'0'
1031.0,360.0,58.0,59.0,487.0,634.0,46.0,20.0,'0'
1089.0,360.0,40.0,58.0,487.0,634.0,26.0,20.0,'0'
1129.0,360.0,38.0,40.0,487.0,634.0,24.0,20.0,'0'
1167.0,360.0,108.0,38.0,487.0,634.0,94.0,24.0,'0'
1275.0,360.0,67.0,108.0,487.0,634.0,53.0,22.0,'0'
1342.0,360.0,75.0,67.0,487.0,634.0,62.0,20.0,'0'
1417.0,360.0,123.0,75.0,487.0,634.0,95.0,25.0,'0'
1540.0,360.0,91.0,123.0,487.0,634.0,81.0,20.0,'0'
1631.0,360.0,33.0,91.0,487.0,634.0,23.0,20.0,'0'
1664.0,360.0,72.0,33.0,487.0,634.0,62.0,23.0,'0'
1736.0,360.0,50.0,72.0,487.0,634.0,38.0,19.0,'0'
1786.0,360.0,105.0,50.0,487.0,634.0,95.0,23.0,'0'
1891.0,360.0,89.0,105.0,487.0,634.0,78.0,22.0,'0'
1980.0,360.0,55.0,89.0,487.0,634.0,44.0,24.0,'0'
2035.0,360.0,87.0,55.0,487.0,634.0,75.0,19.0,'0'
2122.0,360.0,28.0,87.0,487.0,634.0,18.0,19.0,'0'
2150.0,360.0,75.0,28.0,487.0,634.0,65.0,22.0,'0'
2225.0,360.0,34.0,75.0,487.0,634.0,23.0,19.0,'0'
2259.0,360.0,1486.0,34.0,487.0,634.0,97.0,24.0,'0'
776.0,444.0,74.0,1486.0,487.0,487.0,64.0,21.0,'1'
850.0,444.0,32.0,74.0,490.0,487.0,23.0,16.0,'1'
882.0,444.0,807.0,32.0,490.0,487.0,69.0,21.0,'1'
1689.0,444.0,36.0,807.0,490.0,487.0,34.0,20.0,'1'
1725.0,444.0,429.0,36.0,490.0,487.0,29.0,20.0,'1'
2154.0,444.0,1868.0,429.0,490.0,487.0,111.0,21.0,'1'
287.0,470.0,1064.0,1868.0,490.0,490.0,100.0,20.0,'1'
1351.0,470.0,124.0,1064.0,1406.0,490.0,75.0,21.0,'1'
1475.0,470.0,215.0,124.0,1406.0,490.0,169.0,24.0,'1'
1690.0,470.0,133.0,215.0,1406.0,490.0,61.0,18.0,'1'
1823.0,470.0,134.0,133.0,1406.0,490.0,122.0,21.0,'1'
1692.0,497.0,159.0,134.0,1406.0,1406.0,56.0,19.0,'1'
1851.0,497.0,1178.0,159.0,1019.0,1406.0,61.0,20.0,'1'
674.0,518.0,339.0,1178.0,1019.0,1019.0,61.0,20.0,'1'
1013.0,518.0,147.0,339.0,407.0,1019.0,73.0,20.0,'1'
1160.0,518.0,889.0,147.0,407.0,1019.0,87.0,21.0,'1'
275.0,594.0,202.0,889.0,407.0,407.0,31.0,20.0,'1'
477.0,594.0,134.0,202.0,26.0,407.0,24.0,18.0,'1'
611.0,594.0,129.0,134.0,26.0,407.0,22.0,19.0,'1'
740.0,594.0,106.0,129.0,26.0,407.0,24.0,19.0,'1'
846.0,594.0,107.0,106.0,26.0,407.0,25.0,19.0,'1'
953.0,594.0,95.0,107.0,26.0,407.0,25.0,20.0,'1'
1048.0,594.0,86.0,95.0,26.0,407.0,37.0,19.0,'1'
1134.0,594.0,144.0,86.0,26.0,407.0,60.0,21.0,'1'
1278.0,594.0,134.0,144.0,26.0,407.0,25.0,21.0,'1'
1412.0,594.0,107.0,134.0,26.0,407.0,24.0,20.0,'1'
1519.0,594.0,94.0,107.0,26.0,407.0,24.0,19.0,'1'
1613.0,594.0,120.0,94.0,26.0,407.0,37.0,20.0,'1'
1733.0,594.0,108.0,120.0,26.0,407.0,24.0,19.0,'1'
1841.0,594.0,97.0,108.0,26.0,407.0,24.0,20.0,'1'
1938.0,594.0,122.0,97.0,26.0,407.0,36.0,20.0,'1'
2060.0,594.0,106.0,122.0,26.0,407.0,22.0,19.0,'1'
2166.0,594.0,96.0,106.0,26.0,407.0,24.0,19.0,'1'
2262.0,594.0,130.0,96.0,26.0,407.0,35.0,19.0,'1'
2392.0,594.0,2120.0,130.0,26.0,407.0,22.0,18.0,'1'
273.0,619.0,191.0,2120.0,26.0,26.0,37.0,19.0,'1'
464.0,619.0,108.0,191.0,26.0,26.0,37.0,19.0,'1'
572.0,619.0,25.0,108.0,26.0,26.0,17.0,20.0,'1'
597.0,619.0,132.0,25.0,26.0,26.0,36.0,19.0,'1'
729.0,619.0,105.0,132.0,26.0,26.0,35.0,18.0,'1'
834.0,619.0,108.0,105.0,26.0,26.0,36.0,19.0,'1'
942.0,619.0,107.0,108.0,26.0,26.0,36.0,19.0,'1'
1049.0,619.0,111.0,107.0,26.0,26.0,36.0,18.0,'1'
1160.0,619.0,118.0,111.0,26.0,26.0,34.0,20.0,'1'
1278.0,619.0,121.0,118.0,26.0,26.0,25.0,20.0,'1'
1399.0,619.0,110.0,121.0,26.0,26.0,36.0,19.0,'1'
1509.0,619.0,117.0,110.0,26.0,26.0,34.0,20.0,'1'
1626.0,619.0,71.0,117.0,26.0,26.0,24.0,19.0,'1'
1697.0,619.0,24.0,71.0,26.0,26.0,16.0,22.0,'1'
1721.0,619.0,83.0,24.0,26.0,26.0,36.0,19.0,'1'
1804.0,619.0,25.0,83.0,26.0,26.0,17.0,20.0,'1'
1829.0,619.0,108.0,25.0,26.0,26.0,36.0,19.0,'1'
1937.0,619.0,83.0,108.0,26.0,26.0,36.0,20.0,'1'
2020.0,619.0,25.0,83.0,26.0,26.0,17.0,22.0,'1'
2045.0,619.0,111.0,25.0,26.0,26.0,37.0,20.0,'1'
2156.0,619.0,79.0,111.0,26.0,26.0,33.0,19.0,'1'
2235.0,619.0,26.0,79.0,26.0,26.0,17.0,22.0,'1'
2261.0,619.0,120.0,26.0,26.0,26.0,35.0,19.0,'1'
2381.0,619.0,2108.0,120.0,26.0,26.0,33.0,18.0,'1'
274.0,644.0,193.0,2108.0,26.0,26.0,34.0,19.0,'1'
467.0,644.0,132.0,193.0,25.0,26.0,34.0,18.0,'1'
599.0,644.0,131.0,132.0,25.0,26.0,34.0,19.0,'1'
730.0,644.0,116.0,131.0,25.0,26.0,34.0,19.0,'1'
846.0,644.0,108.0,116.0,25.0,26.0,24.0,19.0,'1'
954.0,644.0,95.0,108.0,25.0,26.0,24.0,19.0,'1'
1049.0,644.0,111.0,95.0,25.0,26.0,37.0,18.0,'1'
1160.0,644.0,119.0,111.0,25.0,26.0,35.0,19.0,'1'
1279.0,644.0,122.0,119.0,25.0,26.0,24.0,19.0,'1'
1401.0,644.0,106.0,122.0,25.0,26.0,35.0,19.0,'1'
1507.0,644.0,119.0,106.0,25.0,26.0,36.0,20.0,'1'
1626.0,644.0,96.0,119.0,25.0,26.0,24.0,19.0,'1'
1722.0,644.0,109.0,96.0,25.0,26.0,35.0,20.0,'1'
1831.0,644.0,108.0,109.0,25.0,26.0,35.0,19.0,'1'
1939.0,644.0,109.0,108.0,25.0,26.0,34.0,19.0,'1'
2048.0,644.0,130.0,109.0,25.0,26.0,34.0,19.0,'1'
2178.0,644.0,95.0,130.0,25.0,26.0,11.0,19.0,'1'
2273.0,644.0,134.0,95.0,25.0,26.0,24.0,19.0,'1'
2407.0,644.0,2135.0,134.0,25.0,26.0,2.0,6.0,'1'
273.0,668.0,194.0,2135.0,25.0,25.0,26.0,19.0,'1'
467.0,668.0,107.0,194.0,26.0,25.0,34.0,18.0,'1'
574.0,668.0,155.0,107.0,26.0,25.0,59.0,22.0,'1'
729.0,668.0,106.0,155.0,26.0,25.0,35.0,18.0,'1'
835.0,668.0,106.0,106.0,26.0,25.0,36.0,19.0,'1'
941.0,668.0,110.0,106.0,26.0,25.0,37.0,19.0,'1'
1051.0,668.0,107.0,110.0,26.0,25.0,35.0,18.0,'1'
1158.0,668.0,108.0,107.0,26.0,25.0,37.0,19.0,'1'
1266.0,668.0,134.0,108.0,26.0,25.0,37.0,21.0,'1'
1400.0,668.0,109.0,134.0,26.0,25.0,36.0,19.0,'1'
1509.0,668.0,106.0,109.0,26.0,25.0,35.0,19.0,'1'
1615.0,668.0,121.0,106.0,26.0,25.0,35.0,19.0,'1'
1736.0,668.0,94.0,121.0,26.0,25.0,21.0,19.0,'1'
1830.0,668.0,107.0,94.0,26.0,25.0,36.0,19.0,'1'
1937.0,668.0,110.0,107.0,26.0,25.0,37.0,19.0,'1'
2047.0,668.0,121.0,110.0,26.0,25.0,35.0,19.0,'1'
2168.0,668.0,105.0,121.0,26.0,25.0,22.0,19.0,'1'
2273.0,668.0,121.0,105.0,26.0,25.0,24.0,19.0,'1'
2394.0,668.0,2121.0,121.0,26.0,25.0,20.0,17.0,'1'
274.0,693.0,204.0,2121.0,26.0,26.0,29.0,20.0,'1'
478.0,693.0,121.0,204.0,25.0,26.0,23.0,18.0,'1'
599.0,693.0,129.0,121.0,25.0,26.0,34.0,19.0,'1'
728.0,693.0,120.0,129.0,25.0,26.0,36.0,19.0,'1'
848.0,693.0,106.0,120.0,25.0,26.0,23.0,19.0,'1'
954.0,693.0,108.0,106.0,25.0,26.0,24.0,20.0,'1'
1062.0,693.0,109.0,108.0,25.0,26.0,24.0,18.0,'1'
1171.0,693.0,108.0,109.0,25.0,26.0,24.0,19.0,'1'
1279.0,693.0,133.0,108.0,25.0,26.0,24.0,20.0,'1'
1412.0,693.0,120.0,133.0,25.0,26.0,24.0,18.0,'1'
