@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'table' {'0'}

@DATA
347.0,375.0,126.0,0.0,41.0,0.0,102.0,38.0,'0'
473.0,375.0,101.0,126.0,41.0,0.0,76.0,35.0,'0'
574.0,375.0,99.0,101.0,41.0,0.0,73.0,30.0,'0'
673.0,375.0,81.0,99.0,41.0,0.0,56.0,29.0,'0'
754.0,375.0,410.0,81.0,41.0,0.0,60.0,29.0,'0'
347.0,416.0,160.0,410.0,41.0,41.0,131.0,37.0,'0'
507.0,416.0,104.0,160.0,42.0,41.0,96.0,30.0,'0'
611.0,416.0,35.0,104.0,42.0,41.0,27.0,3.0,'0'
646.0,416.0,302.0,35.0,42.0,41.0,169.0,38.0,'0'
347.0,458.0,110.0,302.0,42.0,42.0,74.0,29.0,'0'
457.0,458.0,112.0,110.0,41.0,42.0,76.0,37.0,'0'
569.0,458.0,226.0,112.0,41.0,42.0,245.0,30.0,'0'
347.0,499.0,91.0,226.0,41.0,41.0,79.0,30.0,'0'
438.0,499.0,78.0,91.0,42.0,41.0,64.0,29.0,'0'
516.0,499.0,49.0,78.0,42.0,41.0,32.0,25.0,'0'
565.0,499.0,31.0,49.0,42.0,41.0,17.0,19.0,'0'
596.0,499.0,253.0,31.0,42.0,41.0,218.0,38.0,'0'
347.0,541.0,84.0,253.0,42.0,42.0,67.0,20.0,'0'
431.0,541.0,178.0,84.0,42.0,42.0,160.0,34.0,'0'
609.0,541.0,87.0,178.0,42.0,42.0,69.0,39.0,'0'
696.0,541.0,49.0,87.0,42.0,42.0,31.0,28.0,'0'
745.0,541.0,400.0,49.0,42.0,42.0,70.0,38.0,'0'
348.0,582.0,56.0,400.0,42.0,42.0,32.0,29.0,'0'
404.0,582.0,135.0,56.0,41.0,42.0,109.0,35.0,'0'
539.0,582.0,56.0,135.0,41.0,42.0,33.0,29.0,'0'
595.0,582.0,126.0,56.0,41.0,42.0,101.0,29.0,'0'
721.0,582.0,376.0,126.0,41.0,42.0,93.0,29.0,'0'
348.0,623.0,100.0,376.0,41.0,41.0,74.0,29.0,'0'
448.0,623.0,79.0,100.0,41.0,41.0,52.0,30.0,'0'
527.0,623.0,145.0,79.0,41.0,41.0,118.0,29.0,'0'
672.0,623.0,327.0,145.0,41.0,41.0,142.0,38.0,'0'
348.0,664.0,99.0,327.0,41.0,41.0,84.0,24.0,'0'
447.0,664.0,97.0,99.0,43.0,41.0,81.0,30.0,'0'
544.0,664.0,80.0,97.0,43.0,41.0,65.0,29.0,'0'
624.0,664.0,92.0,80.0,43.0,41.0,78.0,39.0,'0'
716.0,664.0,370.0,92.0,43.0,41.0,98.0,29.0,'0'
349.0,706.0,130.0,370.0,43.0,43.0,101.0,30.0,'0'
479.0,706.0,186.0,130.0,43.0,43.0,158.0,28.0,'0'
665.0,706.0,61.0,186.0,43.0,43.0,32.0,25.0,'0'
726.0,706.0,381.0,61.0,43.0,43.0,89.0,30.0,'0'
348.0,748.0,146.0,381.0,43.0,43.0,123.0,29.0,'0'
494.0,748.0,143.0,146.0,41.0,43.0,119.0,38.0,'0'
637.0,748.0,154.0,143.0,41.0,43.0,129.0,34.0,'0'
791.0,748.0,445.0,154.0,41.0,43.0,24.0,30.0,'0'
348.0,789.0,187.0,445.0,41.0,41.0,161.0,39.0,'0'
535.0,789.0,62.0,187.0,42.0,41.0,34.0,25.0,'0'
597.0,789.0,91.0,62.0,42.0,41.0,64.0,29.0,'0'
688.0,789.0,342.0,91.0,42.0,41.0,126.0,30.0,'0'
349.0,830.0,162.0,342.0,42.0,42.0,141.0,30.0,'0'
511.0,830.0,140.0,162.0,43.0,42.0,117.0,30.0,'0'
651.0,830.0,134.0,140.0,43.0,42.0,112.0,30.0,'0'
785.0,830.0,440.0,134.0,43.0,42.0,30.0,29.0,'0'
348.0,872.0,145.0,440.0,43.0,43.0,133.0,20.0,'0'
493.0,872.0,51.0,145.0,58.0,43.0,39.0,38.0,'0'
