word,x,y,x+1 dist,x-1 dist,y+1 dist,y-1 dist,width,height,table
TABLE,1333,285,139.0,0,421.0,0,124,28,0
5,1472,285,34.0,139.0,421.0,0,19,29,0
(Page,1506,285,97.0,34.0,421.0,0,84,37,0
6,1603,285,32.0,97.0,421.0,0,20,29,0
of,1635,285,49.0,32.0,421.0,0,33,29,1
15),1684,285,768.0,49.0,421.0,0,50,33,0
Population,922,374,191.0,768.0,421.0,421.0,178,34,0
or,1113,374,897.0,191.0,478.0,421.0,33,20,0
Unit,2010,374,83.0,897.0,478.0,421.0,70,29,0
of,2093,374,315.0,83.0,478.0,421.0,34,28,0
Method,2408,374,137.0,315.0,478.0,421.0,124,28,0
of,2545,374,2101.0,137.0,478.0,421.0,34,28,0
Primary,445,401,143.0,2101.0,478.0,478.0,127,34,0
Impact,588,401,908.0,143.0,426.0,478.0,113,33,0
Description,1496,401,502.0,908.0,426.0,478.0,187,34,1
Measure',1998,401,388.0,502.0,426.0,478.0,147,31,0
Computation,2386,401,1517.0,388.0,426.0,478.0,217,34,0
Resources,870,421,175.0,1517.0,426.0,426.0,162,28,0
Affected,1045,421,234.0,175.0,113.0,426.0,144,28,1
1.5.2,838,529,121.0,234.0,113.0,113.0,77,29,0
"People,",959,529,133.0,121.0,566.0,113.0,121,38,0
external,1092,529,311.0,133.0,566.0,113.0,134,29,0
Radionuclide,1403,529,231.0,311.0,566.0,113.0,216,30,1
discharge,1634,529,162.0,231.0,566.0,113.0,148,38,1
may,1796,529,154.0,162.0,566.0,113.0,69,28,0
Rem,1950,529,89.0,154.0,566.0,113.0,75,29,0
per,2039,529,63.0,89.0,566.0,113.0,50,28,1
year,2102,529,83.0,63.0,566.0,113.0,69,27,1
for,2185,529,131.0,83.0,566.0,113.0,46,29,1
Sum,2316,529,84.0,131.0,566.0,113.0,71,29,0
annual,2400,529,122.0,84.0,566.0,113.0,109,29,1
dose,2522,529,85.0,122.0,566.0,113.0,70,29,0
contributions,2607,529,1207.0,85.0,566.0,113.0,221,29,0
introduce,1401,578,171.0,1207.0,566.0,566.0,157,30,0
a,1572,578,29.0,171.0,45.0,566.0,16,20,0
radiation,1601,578,159.0,29.0,45.0,566.0,147,30,0
level,1760,578,189.0,159.0,45.0,566.0,73,30,0
individual;,1949,578,185.0,189.0,45.0,566.0,174,35,1
man-,2134,578,182.0,185.0,45.0,566.0,81,20,1
from,2316,578,91.0,182.0,45.0,566.0,78,29,0
nuclides,2407,578,146.0,91.0,45.0,566.0,134,29,0
expected,2553,578,161.0,146.0,45.0,566.0,146,37,0
to,2714,578,45.0,161.0,45.0,566.0,31,25,1
be,2759,578,50.0,45.0,45.0,566.0,37,29,0
re-,2809,578,1408.0,50.0,45.0,566.0,41,21,0
that,1402,622,77.0,1408.0,45.0,45.0,64,30,0
adds,1479,622,86.0,77.0,48.0,45.0,73,29,0
to,1565,622,46.0,86.0,48.0,45.0,32,26,0
natural,1611,622,128.0,46.0,48.0,45.0,115,31,0
back-,1739,622,210.0,128.0,48.0,45.0,87,30,0
rem,1949,622,75.0,210.0,48.0,45.0,62,20,0
per,2024,622,63.0,75.0,48.0,45.0,50,28,1
year,2087,622,83.0,63.0,48.0,45.0,69,28,0
for,2170,622,145.0,83.0,48.0,45.0,47,30,0
leased.,2315,622,916.0,145.0,48.0,45.0,107,30,0
ground,1401,669,128.0,916.0,48.0,48.0,116,38,0
radiation,1529,669,160.0,128.0,50.0,48.0,147,29,0
for,1689,669,60.0,160.0,50.0,48.0,48,30,0
water,1749,669,202.0,60.0,50.0,48.0,91,25,0
estimated,1951,669,169.0,202.0,50.0,48.0,156,29,0
popu-,2120,669,721.0,169.0,50.0,48.0,95,29,0
users.,1401,719,549.0,721.0,50.0,50.0,91,21,0
lation,1950,719,105.0,549.0,551.0,50.0,93,30,1
at,2055,719,45.0,105.0,551.0,50.0,30,25,0
the,2100,719,157.0,45.0,551.0,50.0,49,30,1
midpoint,1950,765,162.0,157.0,551.0,551.0,149,38,0
of,2112,765,169.0,162.0,47.0,551.0,37,30,0
station,1950,812,123.0,169.0,47.0,47.0,110,28,0
operation,2073,812,1243.0,123.0,1120.0,47.0,158,36,0
1.5.3,837,934,122.0,1243.0,1120.0,1120.0,77,29,1
"People,",959,934,133.0,122.0,563.0,1120.0,120,38,0
ingestion,1092,934,307.0,133.0,563.0,1120.0,147,37,0
Radionuclide,1399,934,231.0,307.0,563.0,1120.0,216,30,0
discharge,1630,934,162.0,231.0,563.0,1120.0,148,38,0
may,1792,934,155.0,162.0,563.0,1120.0,69,27,0
Rem,1947,934,88.0,155.0,563.0,1120.0,75,29,0
per,2035,934,63.0,88.0,563.0,1120.0,51,28,1
year,2098,934,83.0,63.0,563.0,1120.0,70,28,0
for,2181,934,131.0,83.0,563.0,1120.0,47,30,0
Estimate,2312,934,156.0,131.0,563.0,1120.0,141,30,0
biological,2468,934,171.0,156.0,563.0,1120.0,158,37,0
accumulation,2639,934,1242.0,171.0,563.0,1120.0,222,30,1
introduce,1398,980,171.0,1242.0,563.0,563.0,157,29,1
a,1569,980,29.0,171.0,46.0,563.0,15,20,0
radiation,1598,980,159.0,29.0,46.0,563.0,145,28,0
level,1757,980,188.0,159.0,46.0,563.0,73,29,0
individuals,1945,980,189.0,188.0,46.0,563.0,176,30,0
(whole,2134,980,185.0,189.0,46.0,563.0,111,38,0
in,2319,980,43.0,185.0,46.0,563.0,30,28,0
foods,2362,980,102.0,43.0,46.0,563.0,89,31,1
and,2464,980,74.0,102.0,46.0,563.0,59,29,0
intake,2538,980,115.0,74.0,46.0,563.0,100,29,0
by,2653,980,52.0,115.0,46.0,563.0,40,37,0
individuals,2705,980,1306.0,52.0,46.0,563.0,177,29,1
that,1400,1025,73.0,1306.0,46.0,46.0,60,29,0
adds,1473,1025,86.0,73.0,46.0,46.0,74,29,0
to,1559,1025,46.0,86.0,46.0,46.0,33,25,0
natural,1605,1025,128.0,46.0,46.0,46.0,115,30,0
back-,1733,1025,212.0,128.0,46.0,46.0,87,30,0
body,1945,1025,97.0,212.0,46.0,46.0,83,36,0
and,2042,1025,72.0,97.0,46.0,46.0,58,29,0
organ);,2114,1025,197.0,72.0,46.0,46.0,115,39,1
and,2311,1025,71.0,197.0,46.0,46.0,59,30,0
population.,2382,1025,203.0,71.0,46.0,46.0,191,37,0
Calculate,2585,1025,165.0,203.0,46.0,46.0,150,30,1
doses,2750,1025,1353.0,165.0,46.0,46.0,85,29,0
ground,1398,1070,128.0,1353.0,46.0,46.0,115,38,0
radiation,1526,1070,160.0,128.0,46.0,46.0,147,30,0
for,1686,1070,60.0,160.0,46.0,46.0,47,30,0
in-,1746,1070,200.0,60.0,46.0,46.0,42,28,1
man-rem,1946,1070,156.0,200.0,46.0,46.0,143,20,0
per,2102,1070,64.0,156.0,46.0,46.0,51,28,1
year,2166,1070,145.0,64.0,46.0,46.0,69,27,0
by,2311,1070,53.0,145.0,46.0,46.0,40,36,0
summing,2364,1070,161.0,53.0,46.0,46.0,149,36,0
results,2525,1070,117.0,161.0,46.0,46.0,104,30,0
for,2642,1070,60.0,117.0,46.0,46.0,48,30,0
expected,2702,1070,1305.0,60.0,46.0,46.0,148,37,1
gested,1398,1116,114.0,1305.0,46.0,46.0,101,38,0
food,1512,1116,89.0,114.0,552.0,46.0,76,30,0
and,1601,1116,70.0,89.0,552.0,46.0,58,30,0
water.,1671,1116,276.0,70.0,552.0,46.0,102,25,1
for,1947,1116,60.0,276.0,552.0,46.0,46,30,0
population,2007,1116,192.0,60.0,552.0,46.0,179,38,0
at,2199,1116,111.0,192.0,552.0,46.0,29,25,0
radionuclides.,2310,1116,367.0,111.0,552.0,46.0,230,31,0
the,1947,1164,62.0,367.0,552.0,552.0,49,30,0
midpoint,2009,1164,165.0,62.0,48.0,552.0,151,38,0
of,2174,1164,233.0,165.0,48.0,552.0,36,30,0
station,1947,1212,123.0,233.0,48.0,48.0,110,28,0
operation,2070,1212,1819.0,123.0,1697.0,48.0,158,36,0
1.6,256,1344,95.0,1819.0,1697.0,1697.0,46,30,1
Consumptive,351,1344,226.0,95.0,1145.0,1697.0,214,37,0
use,577,1344,264.0,226.0,1145.0,1697.0,51,21,0
1.6.1,841,1344,121.0,264.0,1145.0,1697.0,73,30,0
People,962,1344,437.0,121.0,1145.0,1697.0,109,38,0
Drinking,1399,1344,155.0,437.0,1145.0,1697.0,144,38,0
water,1554,1344,105.0,155.0,1145.0,1697.0,92,25,0
supplies,1659,1344,288.0,105.0,1145.0,1697.0,129,37,0
Gallons,1947,1344,135.0,288.0,1145.0,1697.0,122,30,0
per,2082,1344,64.0,135.0,1145.0,1697.0,51,29,0
year,2146,1344,167.0,64.0,1145.0,1697.0,69,28,0
Where,2313,1344,114.0,167.0,1145.0,1697.0,100,29,0
users,2427,1344,92.0,114.0,1145.0,1697.0,79,21,0
withdraw,2519,1344,168.0,92.0,1145.0,1697.0,154,29,1
drinking,2687,1344,1288.0,168.0,1145.0,1697.0,137,38,0
drawn,1400,1391,112.0,1288.0,1145.0,1145.0,100,29,0
from,1512,1391,93.0,112.0,46.0,1145.0,80,29,0
the,1605,1391,63.0,93.0,46.0,1145.0,50,30,1
water,1668,1391,644.0,63.0,46.0,1145.0,91,25,0
water,2312,1391,104.0,644.0,46.0,1145.0,91,25,0
supplies,2416,1391,143.0,104.0,46.0,1145.0,129,38,0
from,2559,1391,92.0,143.0,46.0,1145.0,79,30,0
the,2651,1391,64.0,92.0,46.0,1145.0,50,29,0
affected,2715,1391,1318.0,64.0,46.0,1145.0,133,30,0
body,1398,1436,96.0,1318.0,46.0,46.0,84,37,0
may,1494,1436,82.0,96.0,917.0,46.0,70,28,1
be,1576,1436,51.0,82.0,917.0,46.0,36,29,1
diminished.,1627,1436,686.0,51.0,917.0,46.0,189,31,0
water,2313,1436,103.0,686.0,917.0,46.0,90,25,0
"body,",2416,1436,106.0,103.0,917.0,46.0,96,37,0
lost,2522,1436,71.0,106.0,917.0,46.0,58,29,0
water,2593,1436,104.0,71.0,917.0,46.0,92,25,0
to,2697,1436,46.0,104.0,917.0,46.0,33,25,1
users,2743,1436,434.0,46.0,917.0,46.0,80,20,0
