word,x,y,x+1 dist,x-1 dist,y+1 dist,y-1 dist,width,height,table
DISTILLED,931,135,416.0,0,825.0,0,362,29,0
SPIRITS,1347,135,1129.0,416.0,825.0,0,261,29,0
HE,427,788,65.0,1129.0,825.0,825.0,45,23,0
COMPANY'S,492,788,241.0,65.0,150.0,825.0,220,31,0
DISTILLED,733,788,197.0,241.0,150.0,825.0,177,23,1
SPIRITS,930,788,143.0,197.0,150.0,825.0,123,23,0
BUSINESS,1073,788,185.0,143.0,150.0,825.0,166,24,0
IS,1258,788,46.0,185.0,150.0,825.0,26,24,0
COMPOSED,1304,788,223.0,46.0,150.0,825.0,202,24,1
OF,1527,788,57.0,223.0,150.0,825.0,44,23,0
JIM,1584,788,81.0,57.0,150.0,825.0,62,40,1
BEAM,1665,788,128.0,81.0,150.0,825.0,108,30,0
BRANDS,1793,788,174.0,128.0,150.0,825.0,154,30,0
"Co.,",1967,788,99.0,174.0,150.0,825.0,77,34,0
A,2066,788,1646.0,99.0,150.0,825.0,23,22,1
WORLDWIDE,427,938,241.0,1646.0,150.0,150.0,222,24,0
LEADER,668,938,158.0,241.0,150.0,150.0,139,23,0
AND,826,938,98.0,158.0,150.0,150.0,79,23,0
THE,924,938,91.0,98.0,150.0,150.0,71,23,1
SECOND,1015,938,168.0,91.0,150.0,150.0,148,24,0
LARGEST,1183,938,178.0,168.0,150.0,150.0,158,24,0
SPIRITS,1361,938,142.0,178.0,150.0,150.0,122,23,1
COMPANY,1503,938,204.0,142.0,150.0,150.0,185,24,1
IN,1707,938,56.0,204.0,150.0,150.0,37,23,1
THE,1763,938,90.0,56.0,150.0,150.0,70,23,1
"U.S.,",1853,938,114.0,90.0,150.0,150.0,93,34,1
AND,1967,938,99.0,114.0,150.0,150.0,80,24,1
THE,2066,938,1647.0,99.0,150.0,150.0,78,30,1
WHYTE,426,1087,158.0,1647.0,150.0,150.0,139,29,1
&,584,1087,43.0,158.0,180.0,150.0,22,21,1
