word,x,y,x+1 dist,x-1 dist,y+1 dist,y-1 dist,width,height,table
HYDROCARBON,393,71,310.0,0,175.0,0,291,31,0
SOURCE,703,71,170.0,310.0,175.0,0,151,31,0
POTENTIAL,873,71,221.0,170.0,175.0,0,206,30,0
OF,1094,71,67.0,221.0,175.0,0,51,30,0
THE,1161,71,90.0,67.0,175.0,0,72,31,0
LACUSTRINE,1251,71,250.0,90.0,175.0,0,232,31,0
ELKO,1501,71,113.0,250.0,175.0,0,94,30,0
"FORMATION,",1614,71,250.0,113.0,175.0,0,231,31,0
NORTHEAST,1864,71,244.0,250.0,175.0,0,227,29,0
NEVADA,2108,71,253.0,244.0,175.0,0,148,29,0
503,2361,71,2098.0,253.0,175.0,0,55,28,0
Table,267,192,98.0,2098.0,175.0,175.0,85,26,0
6,365,192,29.0,98.0,93.0,175.0,16,25,0
(continued),394,192,155.0,29.0,93.0,175.0,173,29,0
Hydrous,270,284,138.0,155.0,93.0,93.0,127,31,0
pyrolysis,408,284,147.0,138.0,698.0,93.0,137,31,0
yields,555,284,101.0,147.0,698.0,93.0,89,29,0
fOr,656,284,62.0,101.0,698.0,93.0,40,26,0
rpn,718,284,47.0,62.0,698.0,93.0,40,26,0
!tic,765,284,55.0,47.0,698.0,93.0,43,21,0
siltstone,820,284,142.0,55.0,698.0,93.0,132,25,0
(ECM16A),962,284,170.0,142.0,698.0,93.0,160,31,0
and,1132,284,66.0,170.0,698.0,93.0,55,25,0
oil,1198,284,47.0,66.0,698.0,93.0,34,24,0
shale,1245,284,91.0,47.0,698.0,93.0,82,25,0
(ECM24A),1336,284,390.0,91.0,698.0,93.0,157,31,0
C15+,960,384,104.0,390.0,698.0,698.0,83,34,1
Organic,1064,384,142.0,104.0,262.0,698.0,126,32,1
Extracts,1206,384,146.0,142.0,262.0,698.0,131,27,1
in,1352,384,40.0,146.0,262.0,698.0,25,26,1
ppm,1392,384,838.0,40.0,262.0,698.0,67,26,1
/,2230,384,1527.0,838.0,262.0,698.0,29,26,1
Hydrocarbons,704,435,564.0,1527.0,262.0,262.0,219,30,1
Nonhydrocarbons,1268,435,493.0,564.0,400.0,262.0,281,32,1
Total,1761,435,169.0,493.0,400.0,262.0,81,27,1
Cis,1930,435,62.0,169.0,400.0,262.0,53,34,1
+NC,1992,435,128.0,62.0,400.0,262.0,78,27,1
%,2120,435,79.0,128.0,400.0,262.0,31,27,1
cycle.,2199,435,1893.0,79.0,400.0,262.0,90,30,1
Sample,307,482,279.0,1893.0,400.0,400.0,117,30,1
Sat.,586,482,197.0,279.0,65.0,400.0,59,25,1
Are.,783,482,188.0,197.0,65.0,400.0,60,26,1
Total,971,482,206.0,188.0,65.0,400.0,79,28,1
NSO,1177,482,168.0,206.0,65.0,400.0,70,27,1
Asphalt.,1345,482,221.0,168.0,65.0,400.0,129,31,1
Total,1566,482,191.0,221.0,65.0,400.0,78,27,1
C15+,1757,482,209.0,191.0,65.0,400.0,84,33,1
TOC,1966,482,144.0,209.0,65.0,400.0,68,27,1
nalk:,2110,482,109.0,144.0,65.0,400.0,82,25,1
alk:,2219,482,111.0,109.0,65.0,400.0,52,25,1
aro,2330,482,2023.0,111.0,65.0,400.0,47,20,1
ECM-16A,309,546,304.0,2023.0,65.0,65.0,139,25,1
340,613,546,197.0,304.0,51.0,65.0,51,24,1
870,810,546,174.0,197.0,51.0,65.0,52,26,1
"1,210",984,546,197.0,174.0,51.0,65.0,76,29,1
2.000,1181,546,190.0,197.0,51.0,65.0,80,26,1
40.700,1371,546,195.0,190.0,51.0,65.0,97,26,1
42.700,1566,546,197.0,195.0,51.0,65.0,97,26,1
43.900,1763,546,198.0,197.0,51.0,65.0,98,27,1
0.007,1961,546,159.0,198.0,51.0,65.0,80,26,1
nd,2120,546,108.0,159.0,51.0,65.0,35,23,1
nO,2228,546,109.0,108.0,51.0,65.0,36,22,1
not_,2337,546,2029.0,109.0,51.0,65.0,69,22,1
ECM-24A,309,597,261.0,2029.0,51.0,51.0,140,26,1
"10,600",570,597,199.0,261.0,111.0,51.0,95,27,1
"12,900",769,597,194.0,199.0,111.0,51.0,93,27,1
"23,500",963,597,200.0,194.0,111.0,51.0,98,30,1
"40,600",1163,597,193.0,200.0,111.0,51.0,99,28,1
"182,500",1356,597,193.0,193.0,111.0,51.0,112,28,1
"223,100",1549,597,196.0,193.0,111.0,51.0,115,28,1
"246,600",1745,597,216.0,196.0,111.0,51.0,117,27,1
0.144,1961,597,159.0,216.0,111.0,51.0,80,25,1
32,2120,597,113.0,159.0,111.0,51.0,33,25,1
