185,1273,161,27,1
508,185,197,40,1
708,508,252,28,1
1400,708,275,28,1
634,1400,310,28,1
168,634,53,24,1
147,168,33,23,1
359,147,24,22,1
146,359,51,24,1
131,146,35,24,1
148,131,53,24,1
1739,148,34,24,1
60,1739,27,25,1
577,60,82,29,1
148,577,89,27,1
149,148,90,26,1
354,149,90,27,1
150,354,92,28,1
156,150,91,28,1
141,156,64,28,1
1735,141,90,27,1
58,1735,31,25,1
69,58,81,29,1
58,69,13,25,1
580,58,82,29,1
149,580,88,27,1
147,149,87,27,1
355,147,87,28,1
149,355,89,28,1
150,149,90,27,1
1588,150,87,28,1
57,1588,30,25,1
578,57,99,28,1
149,578,88,26,1
503,149,87,27,1
150,503,90,28,1
149,150,89,27,1
1588,149,88,27,1
61,1588,33,26,1
577,61,79,28,1
149,577,89,28,1
147,149,88,27,1
358,147,89,27,1
148,358,87,28,1
151,148,89,27,1
145,151,85,27,1
1737,145,87,27,1
59,1737,32,26,1
71,59,99,29,1
60,71,33,27,1
71,60,81,29,1
58,71,31,26,1
69,58,82,28,1
61,69,34,25,1
575,61,80,29,1
149,575,89,26,1
504,149,90,27,1
151,504,91,28,1
148,151,90,27,1
1589,148,89,27,1
59,1589,32,26,1
577,59,100,29,1
150,577,90,27,1
147,150,87,28,1
933,147,89,28,1
59,933,32,31,1
70,59,100,29,1
58,70,31,27,1
69,58,100,29,1
60,69,33,27,1
576,60,100,29,1
149,576,90,27,1
148,149,89,27,1
356,148,90,27,1
150,356,89,29,1
149,150,91,28,1
147,149,89,28,1
1736,147,89,27,1
59,1736,33,25,1
577,59,81,29,1
149,577,89,27,1
786,149,88,26,1
59,786,14,23,1
577,59,64,29,1
150,577,90,27,1
502,150,88,28,1
152,502,91,28,1
147,152,87,28,1
1588,147,89,28,1
58,1588,32,24,1
68,58,100,30,1
60,68,27,25,1
576,60,99,29,1
148,576,90,27,1
503,148,90,26,1
150,503,91,28,1
150,150,90,28,1
1588,150,88,27,1
58,1588,33,32,1
578,58,82,29,1
149,578,88,27,1
148,149,88,27,1
801,148,88,28,1
1736,801,89,27,1
61,1736,34,23,1
873,61,99,29,1
654,873,90,27,1
147,654,88,28,1
1735,147,88,27,1
58,1735,33,25,1
578,58,83,28,1
150,578,90,28,1
502,150,88,27,1
150,502,90,28,1
149,150,90,28,1
1587,149,88,27,1
60,1587,32,25,1
557,60,80,28,1
148,557,108,27,1
167,148,108,27,1
336,167,90,27,1
151,336,109,28,1
149,151,108,27,1
166,149,106,26,1
1735,166,87,27,1
57,1735,31,25,1
69,57,81,30,1
61,69,28,25,1
1526,61,80,29,1
147,1526,88,27,1
1735,147,88,27,1
59,1735,14,23,1
726,59,63,29,1
802,726,88,28,1
1587,802,89,27,1
60,1587,32,26,1
70,60,82,29,1
57,70,30,26,1
68,57,83,30,1
59,68,31,26,1
70,59,81,30,1
60,70,29,26,1
558,60,82,29,1
148,558,107,28,1
165,148,108,28,1
339,165,90,27,1
148,339,108,28,1
149,148,109,27,1
169,149,107,28,1
1736,169,86,28,1
57,1736,32,26,1
577,57,100,30,1
149,577,89,28,1
503,149,88,28,1
149,503,89,27,1
149,149,90,28,1
148,149,89,27,1
1735,148,88,27,1
61,1735,33,27,1
72,61,82,29,1
60,72,29,26,1
576,60,100,30,1
148,576,90,27,1
784,148,90,27,1
60,784,33,26,1
576,60,82,29,1
149,576,89,28,1
147,149,89,27,1
355,147,90,27,1
149,355,90,27,1
150,149,91,27,1
148,150,89,27,1
1734,148,89,27,1
58,1734,32,26,1
70,58,99,30,1
61,70,33,26,1
576,61,100,29,1
151,576,89,27,1
502,151,86,27,1
150,502,89,29,1
150,150,88,28,1
1590,150,86,27,1
60,1590,14,24,1
575,60,99,29,1
652,575,90,27,1
1288,652,90,27,1
62,1288,28,25,1
574,62,99,29,1
651,574,91,28,1
1287,651,91,28,1
635,1287,51,27,1
638,635,89,28,1
620,638,160,30,1
651,620,106,27,1
1270,651,106,28,1
616,1270,157,29,1
650,616,107,29,1
1267,650,109,28,1
94,1267,52,25,1
166,662,139,31,1
461,166,229,36,1
206,461,183,30,1
831,206,83,34,1
682,831,411,52,1
61,682,144,36,1
683,61,166,30,1
683,683,327,47,1
